DATE_TIME;DRBS_PRESS;NEWK_PRESS
2021-03-11 21:09:00;980.246;1014.580
2021-03-11 21:10:00;980.246;1014.580
2021-03-11 21:11:00;980.216;1014.580
2021-03-11 21:12:00;980.216;1014.580
2021-03-11 21:13:00;980.106;1014.580
2021-03-11 21:14:00;980.106;1014.580
2021-03-11 21:15:00;980.196;1014.720
2021-03-11 21:16:00;980.196;1014.580
2021-03-11 21:17:00;980.276;1014.580
2021-03-11 21:18:00;980.276;1014.580
2021-03-11 21:19:00;980.406;1014.580
2021-03-11 21:20:00;980.406;1014.580
2021-03-11 21:21:00;980.306;1014.450
2021-03-11 21:22:00;980.306;1014.450
2021-03-11 21:23:00;980.476;1014.450
2021-03-11 21:24:00;980.476;1014.450
2021-03-11 21:25:00;980.626;1014.450
2021-03-11 21:26:00;980.626;1014.450
2021-03-11 21:27:00;980.646;1014.450
2021-03-11 21:28:00;980.646;1014.320
2021-03-11 21:29:00;980.826;1014.320
2021-03-11 21:30:00;980.826;1014.320
2021-03-11 21:31:00;980.936;1014.320
2021-03-11 21:32:00;980.936;1014.320
2021-03-11 21:33:00;980.986;1014.320
2021-03-11 21:34:00;980.986;1014.320
2021-03-11 21:35:00;980.976;1014.320
2021-03-11 21:36:00;980.976;1014.320
2021-03-11 21:37:00;980.906;1014.320
2021-03-11 21:38:00;980.906;1014.320
2021-03-11 21:39:00;980.876;1014.180
2021-03-11 21:40:00;980.876;1014.180
2021-03-11 21:41:00;980.776;1014.180
2021-03-11 21:42:00;980.776;1014.180
2021-03-11 21:43:00;980.796;1014.180
2021-03-11 21:44:00;980.796;1014.180
2021-03-11 21:45:00;980.996;1014.050
2021-03-11 21:46:00;980.996;1014.050
2021-03-11 21:47:00;980.956;1014.050
2021-03-11 21:48:00;980.956;1014.050
2021-03-11 21:49:00;980.946;1013.920
2021-03-11 21:50:00;980.946;1013.920
2021-03-11 21:51:00;980.986;1013.920
2021-03-11 21:52:00;980.986;1013.920
2021-03-11 21:53:00;981.036;1013.920
2021-03-11 21:54:00;981.036;1013.920
2021-03-11 21:55:00;981.106;1013.920
2021-03-11 21:56:00;981.106;1013.920
2021-03-11 21:57:00;981.146;1013.920
2021-03-11 21:58:00;981.146;1013.780
2021-03-11 21:59:00;981.166;1013.780
2021-03-11 22:00:00;981.166;1013.780
2021-03-11 22:01:00;981.106;1013.780
2021-03-11 22:02:00;981.106;1013.780
2021-03-11 22:03:00;981.186;1013.780
2021-03-11 22:04:00;981.186;1013.780
2021-03-11 22:05:00;981.176;1013.780
2021-03-11 22:06:00;981.176;1013.780
2021-03-11 22:07:00;981.226;1013.780
2021-03-11 22:08:00;981.226;1013.780
2021-03-11 22:09:00;981.256;1013.780
2021-03-11 22:10:00;981.256;1013.780
2021-03-11 22:11:00;981.246;1013.780
2021-03-11 22:12:00;981.246;1013.780
2021-03-11 22:13:00;981.196;1013.920
2021-03-11 22:14:00;981.196;1013.920
2021-03-11 22:15:00;981.416;1013.920
2021-03-11 22:16:00;981.416;1013.920
2021-03-11 22:17:00;981.376;1013.920
2021-03-11 22:18:00;981.376;1014.050
2021-03-11 22:19:00;981.386;1014.050
2021-03-11 22:20:00;981.386;1014.050
2021-03-11 22:21:00;981.466;1014.050
2021-03-11 22:22:00;981.466;1014.180
2021-03-11 22:23:00;981.616;1014.180
2021-03-11 22:24:00;981.616;1014.180
2021-03-11 22:25:00;981.556;1014.180
2021-03-11 22:26:00;981.556;1014.180
2021-03-11 22:27:00;981.566;1014.180
2021-03-11 22:28:00;981.566;1014.180
2021-03-11 22:29:00;981.676;1014.180
2021-03-11 22:30:00;981.676;1014.180
2021-03-11 22:31:00;981.706;1014.180
