DATE_TIME;DRBS;NEWK
2021-03-11 22:01:00;115.350;101.060
2021-03-11 22:02:00;118.017; 98.620
2021-03-11 22:03:00;118.200; 99.070
2021-03-11 22:04:00;120.000;100.770
2021-03-11 22:05:00;116.917; 99.950
2021-03-11 22:06:00;120.550;100.690
2021-03-11 22:07:00;116.217; 97.920
2021-03-11 22:08:00;120.750; 98.270
2021-03-11 22:09:00;114.967; 99.530
2021-03-11 22:10:00;116.400; 95.510
2021-03-11 22:11:00;117.783;101.680
2021-03-11 22:12:00;119.700; 99.100
2021-03-11 22:13:00;118.383; 97.360
2021-03-11 22:14:00;118.567; 96.800
2021-03-11 22:15:00;122.033; 99.090
2021-03-11 22:16:00;115.333;100.060
2021-03-11 22:17:00;117.417;101.370
2021-03-11 22:18:00;117.050; 98.870
2021-03-11 22:19:00;111.000; 96.570
2021-03-11 22:20:00;122.050; 97.450
2021-03-11 22:21:00;116.333; 99.190
2021-03-11 22:22:00;113.383; 97.810
2021-03-11 22:23:00;115.217; 97.770
2021-03-11 22:24:00;121.800; 98.330
2021-03-11 22:25:00;115.817;101.800
2021-03-11 22:26:00;118.050;100.870
2021-03-11 22:27:00;118.467; 95.560
2021-03-11 22:28:00;117.650; 99.370
2021-03-11 22:29:00;116.467; 96.620
2021-03-11 22:30:00;115.550; 98.130
2021-03-11 22:31:00;117.933; 99.650
2021-03-11 22:32:00;116.817; 97.950
2021-03-11 22:33:00;116.017; 96.240
2021-03-11 22:34:00;121.483; 98.340
2021-03-11 22:35:00;118.383; 99.680
2021-03-11 22:36:00;118.233; 96.650
2021-03-11 22:37:00;115.567;100.330
2021-03-11 22:38:00;118.250; 98.980
2021-03-11 22:39:00;117.917; 98.690
2021-03-11 22:40:00;119.100; 97.750
2021-03-11 22:41:00;115.233;101.860
2021-03-11 22:42:00;116.117;100.180
2021-03-11 22:43:00;118.400; 99.040
2021-03-11 22:44:00;119.433; 97.600
2021-03-11 22:45:00;117.917; 97.210
2021-03-11 22:46:00;120.850;100.510
2021-03-11 22:47:00;117.117; 99.780
2021-03-11 22:48:00;117.017;100.560
2021-03-11 22:49:00;116.917;101.990
2021-03-11 22:50:00;118.950; 98.450
2021-03-11 22:51:00;115.733; 97.710
2021-03-11 22:52:00;117.600;100.400
2021-03-11 22:53:00;119.183; 96.420
2021-03-11 22:54:00;117.183; 98.860
2021-03-11 22:55:00;115.500; 99.500
2021-03-11 22:56:00;116.483; 98.710
2021-03-11 22:57:00;118.100; 94.940
2021-03-11 22:58:00;118.300; 95.450
2021-03-11 22:59:00;112.467; 99.130
2021-03-11 23:00:00;120.300; 99.450
2021-03-11 23:01:00;   null; 99.210
2021-03-11 23:02:00;116.517;100.160
2021-03-11 23:03:00;112.867; 96.750
2021-03-11 23:04:00;116.383;104.520
2021-03-11 23:05:00;117.667; 94.970
2021-03-11 23:06:00;120.983; 95.100
2021-03-11 23:07:00;116.667; 98.690
2021-03-11 23:08:00;113.767; 99.660
2021-03-11 23:09:00;117.317; 97.630
2021-03-11 23:10:00;121.550; 99.450
2021-03-11 23:11:00;115.100; 98.340
2021-03-11 23:12:00;115.233; 98.630
2021-03-11 23:13:00;117.083; 97.910
2021-03-11 23:14:00;115.700; 97.750
2021-03-11 23:15:00;114.567; 98.270
2021-03-11 23:16:00;115.950; 96.950
2021-03-11 23:17:00;114.783; 96.480
2021-03-11 23:18:00;120.017; 99.100
2021-03-11 23:19:00;112.317; 99.160
2021-03-11 23:20:00;115.433; 99.370
2021-03-11 23:21:00;117.883; 97.690
2021-03-11 23:22:00;116.350; 99.280
